ts,open,high,low,close,volume
1736854200000,3219.98,3223.8,3218.46,3219.77,143.49484
1736854500000,3219.71,3221.03,3214.61,3214.71,191.590486
1736854800000,3214.71,3217.16,3210.92,3216.2,527.508416
1736855100000,3216.49,3216.99,3212.3,3213.65,222.555668
1736855400000,3213.5,3217.5,3213.11,3217.31,193.632805
1736855700000,3217.31,3218.74,3215.07,3217.7,205.959967
1736856000000,3217.58,3220.47,3212.01,3213.93,355.683823
1736856300000,3214.11,3214.11,3204.89,3206.09,302.137356
1736856600000,3205.95,3208.09,3202.66,3205.79,359.494868
1736856900000,3205.79,3206.05,3197.4,3199.48,592.642935
1736857200000,3199.2,3199.21,3181.07,3181.07,1626.894942
1736857500000,3181.02,3191.41,3180.67,3185.48,1194.233536
1736857800000,3185.45,3192.36,3184.52,3190.93,284.325909
1736858100000,3190.91,3195.41,3189.84,3194.0,316.723508
1736858400000,3194.02,3197.33,3190.15,3191.2,141.015748
1736858700000,3191.21,3195.18,3191.2,3195.15,325.358431
1736859000000,3195.01,3197.29,3192.31,3192.4,314.025366
1736859300000,3192.41,3192.41,3183.13,3183.8,332.201288
1736859600000,3183.88,3189.99,3178.89,3189.3,1405.362883
1736859900000,3188.98,3190.28,3180.28,3181.29,657.142833
1736860200000,3181.29,3186.59,3180.1,3185.51,158.767811
1736860500000,3185.59,3187.68,3180.12,3184.6,284.412088
1736860800000,3184.59,3188.37,3183.2,3184.06,174.790769
1736861100000,3184.26,3185.82,3179.33,3181.32,346.984851
1736861400000,3181.33,3234.08,3181.33,3221.3,9586.293165
1736861700000,3221.3,3221.3,3207.32,3211.12,1380.378624
1736862000000,3210.9,3213.33,3202.75,3205.08,1000.695158
1736862300000,3205.55,3223.37,3204.62,3219.41,515.550793
1736862600000,3219.2,3222.44,3207.0,3210.91,512.632731
1736862900000,3210.86,3214.46,3206.0,3208.7,252.104563
1736863200000,3209.0,3211.88,3195.9,3203.2,568.78571
1736863500000,3203.2,3210.61,3201.79,3204.0,263.019943
1736863800000,3204.48,3206.42,3198.6,3206.39,240.859139
1736864100000,3206.39,3215.4,3203.69,3213.18,324.12638
1736864400000,3213.4,3216.77,3211.04,3213.3,248.916139
1736864700000,3213.3,3218.87,3211.6,3215.5,520.546711
1736865000000,3215.62,3223.59,3205.67,3223.59,1097.172923
1736865300000,3223.49,3234.15,3218.07,3228.11,760.050432
1736865600000,3228.29,3232.63,3214.45,3218.77,685.037652
1736865900000,3218.8,3219.7,3198.6,3203.3,821.678563
1736866200000,3203.97,3212.38,3190.68,3191.81,1191.302783
1736866500000,3191.8,3195.79,3186.8,3191.62,638.474411
1736866800000,3191.78,3199.66,3187.15,3195.51,516.869856
1736867100000,3195.5,3211.69,3192.0,3209.33,601.857226
1736867400000,3209.33,3214.09,3203.41,3209.91,540.74969
1736867700000,3211.0,3216.39,3206.82,3207.31,385.740384
1736868000000,3207.3,3210.67,3198.87,3200.9,381.80286
1736868300000,3201.08,3203.48,3196.09,3202.41,221.936307
1736868600000,3202.55,3206.91,3199.03,3201.81,253.79098
1736868900000,3202.08,3208.19,3197.09,3197.19,241.296191
1736869200000,3197.19,3213.32,3196.19,3213.24,365.836689
1736869500000,3213.0,3213.0,3202.19,3206.18,193.205317
1736869800000,3206.19,3211.21,3202.0,3206.91,205.124854
1736870100000,3207.0,3207.4,3199.51,3199.51,140.805267
1736870400000,3199.51,3199.88,3173.65,3177.78,1155.65704
1736870700000,3177.89,3191.44,3172.48,3187.3,957.313652
1736871000000,3186.77,3188.32,3181.7,3187.21,386.284248
1736871300000,3187.08,3191.76,3180.51,3187.19,335.641827
1736871600000,3187.2,3197.89,3185.65,3195.89,278.343609
1736871900000,3195.05,3204.49,3192.21,3192.79,610.862202
1736872200000,3193.17,3195.8,3188.48,3193.09,546.83658
1736872500000,3192.39,3193.49,3184.32,3189.6,268.522798
1736872800000,3189.88,3191.2,3180.12,3182.25,211.700076
1736873100000,3183.0,3191.65,3180.9,3187.99,366.033223
1736873400000,3188.32,3196.2,3187.99,3193.08,206.286552
1736873700000,3193.08,3196.34,3190.16,3191.4,166.31874
1736874000000,3191.27,3191.27,3184.29,3188.54,153.214286
1736874300000,3188.0,3197.98,3186.02,3197.79,144.117688
1736874600000,3197.77,3207.61,3196.16,3204.81,497.335965
1736874900000,3205.23,3212.95,3203.0,3205.69,219.57934
1736875200000,3205.52,3205.9,3194.46,3197.84,334.438187
1736875500000,3197.61,3207.19,3197.0,3205.69,214.150086
1736875800000,3205.47,3207.99,3198.0,3198.0,375.575574
1736876100000,3198.0,3202.89,3193.12,3202.89,304.582774
1736876400000,3202.9,3212.38,3199.91,3208.95,243.50992
1736876700000,3208.95,3213.23,3205.3,3206.08,380.313271
1736877000000,3206.49,3213.25,3206.49,3210.41,278.729108
1736877300000,3210.48,3213.09,3206.01,3212.82,80.377811
1736877600000,3212.8,3218.35,3211.85,3217.57,409.452161
1736877900000,3217.51,3224.68,3215.7,3217.61,635.657592
1736878200000,3217.61,3218.16,3209.48,3212.7,244.344748
1736878500000,3212.16,3218.65,3210.39,3210.93,294.473254
1736878800000,3210.92,3215.77,3207.44,3215.2,137.671936
1736879100000,3215.33,3220.9,3215.33,3220.49,149.281048
1736879400000,3220.39,3226.82,3218.1,3225.7,157.641119
1736879700000,3225.89,3230.55,3224.57,3229.19,311.480848
1736880000000,3229.4,3229.96,3223.83,3226.11,160.733051
1736880300000,3226.48,3233.16,3223.77,3230.48,117.257186
1736880600000,3230.47,3230.78,3225.55,3230.12,84.034775
1736880900000,3230.12,3231.7,3225.0,3225.0,131.714544
1736881200000,3225.19,3225.55,3218.56,3222.67,455.159858
1736881500000,3222.68,3227.99,3221.49,3222.61,141.193699
1736881800000,3222.61,3226.0,3220.23,3223.71,198.075328
1736882100000,3223.7,3225.52,3217.6,3218.42,117.195652
1736882400000,3218.55,3222.77,3217.86,3220.02,169.269801
1736882700000,3219.73,3226.98,3219.5,3221.89,163.528694
1736883000000,3221.92,3227.27,3220.58,3227.0,98.133837
1736883300000,3227.0,3232.72,3226.99,3228.81,162.012764
1736883600000,3229.28,3235.99,3229.28,3231.1,142.364072
1736883900000,3231.28,3231.73,3226.6,3228.89,110.135225
1736884200000,3228.89,3229.74,3221.55,3222.24,122.736995
1736884500000,3222.19,3223.99,3212.72,3214.67,189.846381
1736884800000,3214.33,3215.7,3194.55,3197.31,532.08029
1736885100000,3197.31,3208.19,3195.37,3206.11,180.710813
1736885400000,3206.1,3209.08,3201.21,3207.36,98.81339
1736885700000,3207.67,3218.63,3207.67,3218.56,293.812212
1736886000000,3218.63,3224.35,3215.07,3224.27,154.208211
1736886300000,3224.35,3226.55,3219.72,3226.18,79.997052
1736886600000,3226.33,3226.41,3214.46,3216.29,132.530049
1736886900000,3216.39,3219.99,3211.65,3211.65,104.039379
1736887200000,3211.77,3216.48,3211.01,3214.77,135.247614
1736887500000,3214.77,3219.8,3214.59,3217.0,136.233943
1736887800000,3216.71,3221.29,3216.56,3219.6,79.536757
1736888100000,3219.89,3223.91,3217.53,3222.69,285.886409
1736888400000,3222.7,3228.6,3215.84,3226.95,481.891211
1736888700000,3226.79,3232.42,3223.21,3230.8,106.468537
1736889000000,3230.51,3231.1,3225.27,3226.66,143.481974
1736889300000,3226.8,3232.65,3224.51,3231.95,73.562008
1736889600000,3231.94,3232.5,3229.19,3231.8,127.44984
1736889900000,3231.99,3233.91,3226.17,3226.17,77.613238
1736890200000,3226.17,3226.97,3220.01,3222.69,106.503537
1736890500000,3222.68,3223.46,3218.01,3218.4,62.943637
1736890800000,3218.4,3219.49,3217.45,3219.08,32.2865
1736891100000,3219.08,3219.47,3211.8,3213.76,390.102441
1736891400000,3214.07,3216.88,3213.61,3215.14,42.860421
1736891700000,3215.61,3216.49,3213.11,3215.88,87.382083
1736892000000,3215.99,3217.5,3213.53,3217.46,81.34434
1736892300000,3217.4,3223.89,3214.37,3223.89,89.152974
1736892600000,3223.92,3227.7,3223.63,3227.69,121.960261
1736892900000,3227.69,3229.41,3225.02,3227.81,123.915902
1736893200000,3227.67,3229.29,3226.18,3227.38,57.341563
1736893500000,3227.39,3231.19,3227.39,3231.19,105.799633
1736893800000,3231.24,3231.66,3225.55,3227.29,83.169099
1736894100000,3227.29,3232.32,3227.04,3232.32,70.283089
1736894400000,3232.34,3235.89,3231.28,3233.44,120.411359
1736894700000,3233.19,3235.84,3230.4,3233.28,27.579392
1736895000000,3233.73,3238.99,3230.69,3235.67,155.777755
1736895300000,3235.66,3240.47,3235.08,3235.3,171.171627
1736895600000,3235.23,3238.08,3231.95,3234.9,232.70286
1736895900000,3235.85,3237.99,3233.21,3233.21,169.583933
1736896200000,3233.35,3235.79,3228.19,3229.0,53.645203
1736896500000,3229.14,3235.0,3228.19,3234.79,57.069721
1736896800000,3234.77,3234.77,3231.62,3232.4,52.941787
1736897100000,3232.57,3233.1,3227.86,3229.55,182.46392
1736897400000,3229.6,3234.02,3229.0,3229.22,64.745071
1736897700000,3229.22,3229.59,3223.21,3223.48,120.455144
1736898000000,3223.7,3230.24,3222.69,3228.06,37.420409
1736898300000,3228.07,3230.63,3224.83,3224.83,51.765224
1736898600000,3224.81,3226.99,3223.99,3225.56,184.133442
1736898900000,3225.54,3227.21,3223.2,3225.68,117.150065
1736899200000,3225.31,3227.81,3219.1,3220.19,134.958771
1736899500000,3220.11,3228.18,3217.39,3222.54,155.122188
1736899800000,3222.87,3229.25,3220.71,3227.51,58.479321
1736900100000,3227.79,3229.99,3222.2,3226.3,98.817765
1736900400000,3226.5,3238.79,3224.01,3238.1,247.115174
1736900700000,3238.19,3242.91,3230.05,3232.81,438.255914
1736901000000,3232.8,3237.6,3226.68,3226.68,237.278515
1736901300000,3226.68,3226.81,3218.08,3223.58,255.89364
1736901600000,3223.58,3223.92,3218.66,3222.51,177.896925
1736901900000,3222.51,3228.19,3218.36,3228.19,64.844641
1736902200000,3228.19,3228.89,3220.6,3221.41,81.025066
1736902500000,3221.42,3225.6,3220.71,3221.71,80.018051
1736902800000,3221.72,3226.47,3217.28,3221.61,395.330156
1736903100000,3221.6,3232.59,3221.6,3231.19,203.929671
1736903400000,3231.19,3234.65,3222.51,3223.19,348.441065
1736903700000,3223.19,3225.18,3218.35,3221.02,250.61261
1736904000000,3220.96,3231.19,3220.96,3231.06,259.41189
1736904300000,3231.05,3235.9,3231.05,3235.0,230.805108
1736904600000,3234.99,3241.89,3229.2,3240.71,340.566238
1736904900000,3240.38,3245.5,3236.94,3236.94,1034.399823
1736905200000,3236.92,3243.78,3233.13,3238.38,390.700906
1736905500000,3238.39,3242.9,3234.05,3234.05,140.456295
1736905800000,3234.36,3235.24,3223.64,3233.91,1011.902158
1736906100000,3233.8,3240.59,3230.12,3230.78,270.817701
1736906400000,3230.71,3235.0,3226.23,3232.19,192.159627
1736906700000,3232.2,3239.8,3226.47,3228.6,256.223466
1736907000000,3228.57,3229.76,3222.44,3224.69,146.995172
1736907300000,3224.69,3225.46,3220.36,3222.19,93.334423
1736907600000,3222.19,3224.0,3217.7,3220.5,521.614221
1736907900000,3220.6,3225.0,3218.66,3218.67,62.371961
1736908200000,3218.7,3218.7,3208.33,3212.6,387.550648
1736908500000,3212.6,3214.88,3205.35,3212.22,389.709797
1736908800000,3212.25,3212.64,3207.33,3211.21,162.457459
1736909100000,3211.2,3220.0,3208.8,3219.31,535.687433
1736909400000,3219.49,3220.47,3214.51,3217.04,381.849107
1736909700000,3217.05,3219.72,3213.33,3213.33,231.872893
1736910000000,3213.34,3216.89,3211.96,3212.61,151.857666
1736910300000,3212.6,3216.5,3208.36,3216.2,300.016996
1736910600000,3216.19,3223.93,3215.31,3218.46,645.599601
1736910900000,3218.89,3224.46,3213.33,3213.33,304.83122
1736911200000,3213.33,3216.03,3208.74,3215.23,484.045711
1736911500000,3215.61,3216.48,3213.02,3216.28,75.727305
1736911800000,3216.28,3223.52,3215.31,3220.17,129.378166
1736912100000,3220.12,3226.49,3218.77,3225.09,165.24785
1736912400000,3225.01,3226.36,3222.6,3224.58,247.584679
1736912700000,3224.31,3225.98,3221.13,3225.82,514.753671
1736913000000,3225.99,3232.65,3225.55,3232.57,462.747361
1736913300000,3232.61,3241.9,3232.52,3241.34,460.445942
1736913600000,3241.49,3252.45,3241.49,3243.54,884.165863
1736913900000,3243.78,3243.93,3231.78,3236.09,376.810219
1736914200000,3235.79,3236.88,3227.77,3228.69,273.226539
1736914500000,3228.89,3230.04,3222.56,3222.59,220.271116
1736914800000,3222.59,3227.9,3222.57,3225.81,366.10195
1736915100000,3225.81,3233.33,3225.0,3229.5,124.363948
1736915400000,3229.4,3231.76,3227.6,3230.97,146.377027
1736915700000,3230.89,3234.2,3230.41,3233.06,163.968449
1736916000000,3233.06,3234.66,3226.2,3227.64,163.308208
1736916300000,3227.93,3229.3,3222.13,3223.58,304.729709
1736916600000,3223.57,3228.8,3223.21,3228.56,232.117158
1736916900000,3228.69,3229.61,3226.2,3226.2,195.230393
1736917200000,3226.2,3228.33,3223.04,3225.1,114.195689
1736917500000,3225.09,3225.59,3218.37,3219.8,337.513477
1736917800000,3219.81,3222.11,3215.41,3220.69,355.327987
1736918100000,3220.69,3222.73,3218.37,3220.15,204.708079
1736918400000,3220.59,3228.47,3220.59,3227.0,208.801503
1736918700000,3227.0,3231.53,3226.72,3229.65,148.214904
1736919000000,3229.64,3231.59,3226.98,3229.32,153.845536
1736919300000,3229.32,3231.29,3226.99,3229.9,72.289274
1736919600000,3229.9,3232.87,3227.0,3232.87,75.820736
1736919900000,3232.87,3235.5,3232.11,3234.58,177.67049
1736920200000,3234.69,3234.99,3231.09,3233.51,68.908483
1736920500000,3233.69,3235.0,3229.9,3230.1,174.494728
1736920800000,3230.01,3232.92,3228.25,3228.25,109.318273
1736921100000,3228.38,3228.99,3223.61,3223.8,70.136646
1736921400000,3223.8,3224.97,3221.12,3221.12,238.640371
1736921700000,3221.12,3224.14,3220.07,3220.27,276.988939
1736922000000,3220.28,3224.49,3219.72,3221.21,229.35322
1736922300000,3221.17,3222.29,3218.95,3218.95,121.163683
1736922600000,3218.95,3221.7,3216.44,3217.9,83.100184
1736922900000,3217.9,3222.14,3216.51,3222.0,79.295903
1736923200000,3222.24,3228.68,3222.24,3223.88,597.156333
1736923500000,3223.89,3226.55,3223.85,3226.4,87.722364
1736923800000,3226.4,3232.22,3226.4,3230.21,159.792516
1736924100000,3230.21,3230.45,3228.56,3230.45,49.594812
1736924400000,3230.45,3234.5,3230.06,3232.1,138.232881
1736924700000,3232.2,3237.77,3232.2,3236.8,107.123202
1736925000000,3236.82,3237.75,3232.41,3235.5,77.142946
1736925300000,3235.54,3243.23,3235.54,3243.19,191.47861
1736925600000,3243.23,3248.87,3240.71,3246.5,305.026984
1736925900000,3246.59,3250.0,3245.99,3249.15,200.657476
1736926200000,3249.1,3250.65,3238.23,3239.35,859.389396
1736926500000,3239.49,3241.58,3237.48,3238.7,103.698857
1736926800000,3238.7,3239.11,3235.0,3235.19,266.841188
1736927100000,3235.2,3236.51,3231.66,3233.86,397.858001
1736927400000,3233.94,3235.83,3230.21,3231.33,305.112035
1736927700000,3231.33,3234.8,3231.33,3232.62,174.811323
1736928000000,3232.63,3239.1,3230.01,3237.8,130.354808
1736928300000,3237.71,3237.96,3232.05,3234.12,75.788236
1736928600000,3233.9,3238.2,3233.9,3235.08,82.149862
1736928900000,3234.92,3234.92,3231.25,3231.81,74.236765
1736929200000,3232.23,3239.74,3231.42,3237.66,295.022342
1736929500000,3237.72,3247.93,3237.72,3247.92,220.944008
1736929800000,3247.93,3248.38,3242.89,3243.87,159.073508
1736930100000,3243.8,3245.88,3240.42,3240.42,261.882033
1736930400000,3240.39,3240.4,3234.57,3237.9,179.916698
1736930700000,3237.89,3238.39,3233.22,3233.49,193.521594
1736931000000,3233.41,3234.39,3232.0,3232.01,130.716697
1736931300000,3232.01,3233.0,3230.83,3232.59,87.374469
1736931600000,3232.68,3235.38,3231.23,3232.21,150.632013
1736931900000,3232.21,3235.33,3230.33,3232.71,203.022866
1736932200000,3232.71,3237.0,3232.67,3234.99,118.101798
1736932500000,3235.0,3238.0,3235.0,3235.91,112.934156
1736932800000,3235.91,3237.22,3230.01,3230.01,123.700209
1736933100000,3230.0,3230.01,3220.51,3220.51,735.56416
1736933400000,3220.51,3225.66,3220.51,3223.9,222.739921
1736933700000,3223.9,3224.79,3213.33,3215.69,425.026065
1736934000000,3215.7,3218.54,3213.96,3217.19,469.06544
1736934300000,3216.34,3218.24,3206.78,3207.11,827.868682
1736934600000,3207.01,3207.01,3194.74,3198.5,1745.625732
1736934900000,3198.49,3201.0,3196.46,3199.15,296.894764
1736935200000,3199.04,3208.04,3197.57,3206.21,470.252499
1736935500000,3206.21,3212.33,3206.21,3210.0,374.389132
1736935800000,3209.91,3211.69,3208.07,3208.07,158.100646
1736936100000,3208.0,3210.51,3205.71,3207.84,181.221396
1736936400000,3207.95,3215.06,3207.95,3214.81,269.022199
1736936700000,3214.81,3217.7,3214.08,3216.11,77.099215
1736937000000,3216.1,3218.66,3214.81,3216.41,62.810577
1736937300000,3216.71,3217.01,3213.01,3215.19,145.588185
1736937600000,3215.19,3215.19,3209.01,3210.8,81.436119
1736937900000,3210.8,3212.87,3209.33,3210.78,60.662222
1736938200000,3211.19,3211.8,3208.61,3208.9,62.705781
1736938500000,3208.81,3210.0,3206.04,3209.3,98.688197
1736938800000,3209.2,3210.26,3203.91,3203.92,67.150429
1736939100000,3204.1,3207.3,3193.71,3194.21,258.164422
1736939400000,3194.31,3201.97,3194.3,3201.6,250.242821
1736939700000,3201.59,3203.47,3191.46,3193.79,324.602078
1736940000000,3193.33,3197.8,3188.06,3189.41,385.580549
1736940300000,3189.4,3193.31,3188.71,3192.79,257.208472
1736940600000,3192.8,3195.0,3186.41,3194.53,437.290546
1736940900000,3194.23,3199.5,3190.1,3198.72,468.861052
1736941200000,3198.34,3199.53,3196.79,3197.8,73.064769
1736941500000,3197.11,3201.8,3195.54,3200.3,251.287888
1736941800000,3200.1,3204.29,3198.0,3198.65,926.849882
1736942100000,3198.78,3200.0,3197.5,3199.31,88.34395
1736942400000,3199.31,3201.01,3192.11,3195.65,118.489569
1736942700000,3195.67,3199.9,3194.01,3196.32,69.462179
1736943000000,3196.37,3196.63,3193.75,3194.4,74.756519
1736943300000,3194.39,3196.14,3192.39,3192.41,169.308866
1736943600000,3192.9,3195.9,3186.6,3190.52,1027.473899
1736943900000,3190.51,3191.5,3186.59,3188.57,149.621408
1736944200000,3188.57,3192.51,3187.03,3191.07,208.125523
