timestamp,side,price,PnL
2025-01-19 08:48:16,BUY,3372.9594199999997,0.0
2025-01-19 08:58:17,SELL,3384.1794150000005,3.3264541913762002
2025-01-19 11:28:25,BUY,3414.118211,0.0
2025-01-19 12:08:27,SELL,3420.2541450000003,1.7972236521368536
2025-01-19 12:58:29,BUY,3414.098197,0.0
2025-01-19 13:08:29,SELL,3425.0208060000004,3.1992662102099017
2025-01-19 13:28:29,BUY,3417.7407449999996,0.0
2025-01-19 13:38:29,SELL,3416.516763,-0.35812605206821313
2025-01-19 13:48:29,BUY,3406.0725829999997,0.0
2025-01-19 13:58:30,SELL,3380.691858,-7.451610140863382
2025-01-19 19:29:52,BUY,3267.4856399999994,0.0
2025-01-19 19:49:53,SELL,3244.32738,-7.0874863890753765
2025-01-19 20:39:55,BUY,3262.7723429999996,0.0
2025-01-19 20:49:55,SELL,3268.81023,1.850538856305492
2025-01-19 22:40:00,BUY,3275.861499,0.0
2025-01-19 22:50:01,SELL,3284.7890370000005,2.72524891627
2025-01-19 23:00:01,BUY,3294.344428,0.0
2025-01-19 23:50:03,SELL,3352.971276,17.796210833847983
2025-01-20 00:50:07,BUY,3385.057883,0.0
2025-01-20 01:20:08,SELL,3397.2802380000003,3.610678287476815
2025-01-21 01:36:13,BUY,3258.7595359999996,0.0
2025-01-21 02:16:17,SELL,3265.082841,1.9404024538005515
2025-01-21 04:16:24,BUY,3309.4750119999994,0.0
2025-01-21 05:56:28,SELL,3298.88916,-3.1986499253251504
2025-01-21 06:16:29,BUY,3301.60951,0.0
2025-01-21 07:16:33,SELL,3306.8935530000003,1.600444566202066
2025-01-21 07:26:33,BUY,3322.92442,0.0
2025-01-21 07:36:34,SELL,3314.668107,-2.4846526602611876
2025-01-21 07:46:35,BUY,3293.1936229999997,0.0
2025-01-21 08:06:36,SELL,3282.050955,-3.3835447518718533
2025-01-21 11:16:45,BUY,3338.0049689999996,0.0
2025-01-21 11:36:45,SELL,3342.55857,1.3641684306313944
2025-01-21 15:46:56,BUY,3336.7340799999997,0.0
2025-01-21 16:06:57,SELL,3321.783123,-4.480715766237974
2025-01-22 03:27:28,BUY,3299.077739,0.0
2025-01-22 03:37:29,SELL,3297.88986,-0.3600639614996388
2025-01-22 04:27:32,BUY,3310.9160199999997,0.0
2025-01-22 04:57:34,SELL,3325.7703300000003,4.486465349852221
2025-01-22 05:17:35,BUY,3325.7263799999996,0.0
2025-01-22 05:27:35,SELL,3314.37831,-3.412207951996206
2025-01-22 06:07:39,BUY,3315.3190999999997,0.0
2025-01-22 06:37:41,SELL,3300.18825,-4.56391965406876
2025-01-22 11:18:00,BUY,3283.3567419999995,0.0
2025-01-22 11:28:01,SELL,3264.163485,-5.845620353854151
2025-01-22 18:18:28,BUY,3250.77395,0.0
2025-01-22 18:38:30,SELL,3246.5458260000005,-1.3006514956228497
2025-01-22 23:38:44,BUY,3221.0831809999995,0.0
2025-01-22 23:58:45,SELL,3205.1648130000003,-4.941930122728859
2025-01-23 01:28:50,BUY,3224.105295,0.0
2025-01-23 02:38:53,SELL,3205.244757,-5.849851749336215
2025-01-23 04:58:58,BUY,3213.3277559999997,0.0
2025-01-23 05:18:59,STOP-LOSS,3197.0604900000003,-5.062435965215427
2025-01-23 05:38:59,BUY,3217.5807309999996,0.0
2025-01-23 05:48:59,SELL,3200.088369,-5.436495137936449
2025-01-23 06:29:00,BUY,3211.04616,0.0
2025-01-23 06:39:01,SELL,3220.803858,3.0387909465618974
2025-01-23 07:59:04,BUY,3270.2175509999997,0.0
2025-01-23 08:09:04,SELL,3275.695407,1.6750738795115803
2025-01-23 08:19:05,BUY,3237.9850039999997,0.0
2025-01-23 09:19:08,SELL,3286.4978400000005,14.982415279895099
2025-01-23 09:29:08,BUY,3270.177523,0.0
2025-01-23 09:59:10,STOP-LOSS,3253.42101,-5.124037726437463
2025-01-23 10:09:10,BUY,3239.045746,0.0
2025-01-23 10:19:10,SELL,3243.5679120000004,1.396141442455766
2025-01-23 14:09:18,BUY,3229.1388159999997,0.0
2025-01-23 14:39:19,SELL,3238.5913980000005,2.9272764469475203
